Date,Region,Depth,Magnitude,Deaths
11/03/2023,"Jajarkot, Rukum West",16 km,5.7,154
10/03/2023,Dipayal,20 km,5.7,1
01/24/2023,Uttar Pradesh; Nepal (Sudurpashchim Province),25 km,5.6,4
11/08/2022,Sudurpashchim Province,18 km,5.7,6
06/21/2017,Dhading,3.2 km,3.2,1
11/27/2016,"Mount Ama Dablam, Charikharka",2 km,5.4,1
05/12/2015,Dolakha,13 km,7.3,117
04/25/2015,Kathmandu; India; China; Bangladesh,35 km,7.8,8200
04/04/2011,"Uttarakhand, Uttar Pradesh",43 km,5.4,0
10/20/1993,Nw; India (Uttar Pradesh),59 km,5.1,0
08/20/1988,"Kathmandu, Bihar",9 km,6.6,1091
07/29/1980,Pithoragarh,40 km,6.5,200
06/27/1966,Nepal-India,9 km,6.3,80
